Major,College,Type
Accounting,University of Hawaiʻi at Mānoa,"MAcc, BBA"
Accounting,University of Hawaiʻi at Hilo,"BBA, UCert"
Accounting,Hawaiʻi Community College,"AAS, CA"
Accounting,Kapiʻolani Community College,"AS, CA, CO"
Accounting,Kauaʻi Community College,"AAS, CA, CO"
Accounting,Leeward Community College,"AS, CA, CO"
Accounting,Maui College,"AAS, CA"
Administration of Justice,University of Hawaiʻi at Hilo,BA
Administration of Justice,Hawaiʻi Community College,"AS, CO"
Administration of Justice,Honolulu Community College,AAS
Administration of Justice,Maui College,"AAS, CA, CO"
Adult Residential Care Home Operator,Kapiʻolani Community College,CO
Aeronautics Maintenance Technology,Honolulu Community College,"AS, CA"
Aerospace Option,Windward Community College,ASC
Agribusiness Management,University of Hawaiʻi at Mānoa,UCert
Agriculture,University of Hawaiʻi at Hilo,BS
Agriculture,Hawaiʻi Community College,"AAS, CA, CO"
Agriculture & Natural Resources,Maui College,"AAS, CA, CO"
Agriculture-Based Product Development & Entrepreneurship,Leeward Community College,CO
Agripharmatech,Windward Community College,CA
Alternative Dispute Resolution,University of Hawaiʻi at Hilo,SC
American Studies,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
Astronomy,University of Hawaiʻi at Mānoa,"PhD, MS, BA"
Astronomy,University of Hawaiʻi at Hilo,BS
Astrophysics,University of Hawaiʻi at Mānoa,BS
Athletic Training,University of Hawaiʻi at Mānoa,MS
Atmospheric Sciences,University of Hawaiʻi at Mānoa,"PhD, MS, BS"
Auto Body Repair & Painting,Hawaiʻi Community College,"AAS, CA"
Auto Body Repair & Painting,Honolulu Community College,"AAS, CA"
Automotive Technology,Hawaiʻi Community College,"AAS, CA"
Automotive Technology,Honolulu Community College,"AAS, CA"
Automotive Technology,Kauaʻi Community College,"AAS, CA, CO"
Automotive Technology,Leeward Community College,"AAS, CA, CO"
Automotive Technology,Maui College,"AAS, CA, CO"
Beekeeping,University of Hawaiʻi at Hilo,UCert
Biochemistry,University of Hawaiʻi at Mānoa,"BS, BA"
Biological Engineering,University of Hawaiʻi at Mānoa,BS
Biology,University of Hawaiʻi at Mānoa,"BS, BA"
Biology,University of Hawaiʻi at Hilo,"BS, BA"
Biomedical Sciences (Tropical Medicine),University of Hawaiʻi at Mānoa,"PhD, MS, GCert"
Botany,University of Hawaiʻi at Mānoa,"PhD, MS, BS, BA"
Business,Kauaʻi Community College,"AS, CA, CO"
Business Administration,University of Hawaiʻi at Mānoa,"PhD, MBA"
Business Administration,University of Hawaiʻi at Hilo,"BBA, UCert"
Business Administration,Maui College,"AAS, CA, CO"
Business Administration,University of Hawaiʻi–West Oʻahu,BA
Business Analytics,University of Hawaiʻi at Hilo,UCert
Business Technology,Hawaiʻi Community College,"AAS, CA, CO"
Business Technology,Leeward Community College,"AS, CA, CO"
Carpentry Technology,Hawaiʻi Community College,"AAS, CA"
Carpentry Technology,Honolulu Community College,"AAS, CA"
Carpentry Technology,Kauaʻi Community College,"AAS, CA, CO"
Chemistry,University of Hawaiʻi at Mānoa,"PhD, MS, BS, BA"
Chemistry,University of Hawaiʻi at Hilo,BS
Chinese,University of Hawaiʻi at Mānoa,"BA, UCert"
Chinese Studies,University of Hawaiʻi at Mānoa,GCert
Chinese Studies,University of Hawaiʻi at Hilo,UCert
Civil Engineering,University of Hawaiʻi at Mānoa,"PhD, MS, BS"
Classics,University of Hawaiʻi at Mānoa,UCert
Clinical Psychology,University of Hawaiʻi at Mānoa,GCert
Clinical Research,University of Hawaiʻi at Mānoa,GCert
Communication,University of Hawaiʻi at Mānoa,"MA, BA"
Communication,University of Hawaiʻi at Hilo,BA
Communication & Information Sciences,University of Hawaiʻi at Mānoa,PhD
Communication Sciences and Disorders,University of Hawaiʻi at Mānoa,MS
Communicology,University of Hawaiʻi at Mānoa,"MA, BA"
Community Health Worker,Kapiʻolani Community College,CO
Computer Application Development,University of Hawaiʻi at Hilo,UCert
Computer Engineering,University of Hawaiʻi at Mānoa,BS
Computer Science,University of Hawaiʻi at Mānoa,"PhD, MS, BS"
Computer Science,University of Hawaiʻi at Hilo,BS
"Computing, Security and Networking Technology",Honolulu Community College,"APC, AS, CA"
Conflict Resolution,University of Hawaiʻi at Mānoa,GCert
Construction Engineering,University of Hawaiʻi at Mānoa,BS
Construction Technology,Maui College,"AAS, CA, CO"
Contemporary Indigenous Multilingualism,University of Hawaiʻi at Hilo,UCert
Cosmetology,Honolulu Community College,"AAS, CA, CO"
Counseling Psychology,University of Hawaiʻi at Hilo,MA
Creative Computational Media,University of Hawaiʻi at Mānoa,UCert
Creative Media,University of Hawaiʻi at Mānoa,BA
Creative Media,University of Hawaiʻi–West Oʻahu,BA
Creative Media,Hawaiʻi Community College,AS
Creative Media,Kauaʻi Community College,"AS, CA"
Creative Media,Maui College,"AS, CA"
Creative Writing,University of Hawaiʻi at Hilo,UCert
Criminal Justice,University of Hawaiʻi at Hilo,SC
Culinary Arts,Hawaiʻi Community College,"AAS, CA"
Culinary Arts,Kapiʻolani Community College,"AS, CA, CO"
Culinary Arts,Kauaʻi Community College,"AAS, CA, CO"
Culinary Arts,Leeward Community College,"AS, CA, CO"
Culinary Arts,Maui College,"AAS, CA, CO"
Culinary Management,Kapiʻolani Community College,APC
Curriculum Studies,University of Hawaiʻi at Mānoa,MEd
Cybersecurity,University of Hawaiʻi–West Oʻahu,BS
Dance Kinesiology,University of Hawaiʻi at Hilo,SC
Data Science,University of Hawaiʻi at Mānoa,UCert
Data Science,University of Hawaiʻi at Hilo,"BS, UCert"
Data Science,Maui College,CO
Database Management,University of Hawaiʻi at Hilo,UCert
Dental Assisting,Kapiʻolani Community College,"CA, CO"
Dental Hygiene,University of Hawaiʻi at Mānoa,BS
Dental Hygiene,Maui College,AS
Developmental & Reproductive Biology,University of Hawaiʻi at Mānoa,"PhD, MS"
Diesel Mechanics Technology,Hawaiʻi Community College,"AAS, CA"
Diesel Mechanics Technology,Honolulu Community College,"AAS, CA"
Dietetics,University of Hawaiʻi at Mānoa,BS
Digital Marketing,University of Hawaiʻi–West Oʻahu,SC
Digital Media Art,University of Hawaiʻi at Hilo,UCert
Digital Media Art,Hawaiʻi Community College,CO
Digital Media Production,Leeward Community College,"AS, CA, CO"
Digital Visualization and Communication,University of Hawaiʻi at Hilo,UCert
Disability & Diversity,University of Hawaiʻi at Mānoa,GCert
Disaster Management and Humanitarian Assistance,University of Hawaiʻi at Mānoa,GCert
Disaster Preparedness and Emergency Management,University of Hawaiʻi–West Oʻahu,UCert
